name,position,team_name,ict_index_gw,opponent_team,starts_gw,total_points_gw,transfers_balance,value,was_home,avg_home_difficulty,avg_away_difficulty,avg_difficulty,team_id,opponent_team_difficulty,name_substring
Thomas Cannon,FWD,Everton,0.0,11,0,0,-106,45,False,2.6842105263157894,3.0526315789473686,2.8684210526315788,8.0,2.894736842105263,Cannon
Hannibal Mejbri,MID,Man Utd,0.0,17,0,0,-498,44,False,2.631578947368421,3.0526315789473686,2.8421052631578947,14.0,2.894736842105263,Mejbri
Boubacar Kamara,MID,Aston Villa,6.8,19,1,2,135,50,True,2.631578947368421,3.0,2.8157894736842106,2.0,2.894736842105263,Kamara
Andrey Nascimento dos Santos,MID,Nott'm Forest,0.0,12,0,0,-276,44,True,2.6842105263157894,3.1052631578947367,2.894736842105263,16.0,2.763157894736842,Santos
Loris Karius,GK,Newcastle,0.0,8,0,0,230,39,True,2.631578947368421,3.0,2.8157894736842106,15.0,2.8684210526315788,Karius
Bart Verbruggen,GK,Brighton,0.0,13,0,0,-244,44,False,2.6842105263157894,3.1052631578947367,2.894736842105263,5.0,2.736842105263157,Verbruggen
Tahith Chong,MID,Luton,2.8,16,1,2,-951,49,False,,,,,2.894736842105263,Chong
Morgan Sanson,MID,Aston Villa,0.0,19,0,0,-16,45,True,2.631578947368421,3.0,2.8157894736842106,2.0,2.894736842105263,Sanson
Bernd Leno,GK,Fulham,2.1,18,1,2,-56771,47,False,2.6842105263157894,3.0526315789473686,2.8684210526315788,9.0,2.8157894736842106,Leno
Josh Dasilva,MID,Brentford,0.0,6,0,0,-206,47,True,2.6842105263157894,3.1052631578947367,2.894736842105263,4.0,2.8157894736842106,Dasilva
Josh Bowler,MID,Nott'm Forest,0.0,12,0,0,-10,45,True,2.6842105263157894,3.1052631578947367,2.894736842105263,16.0,2.763157894736842,Bowler
Bashir Humphreys,DEF,Chelsea,0.0,1,0,0,-33,40,True,2.631578947368421,3.0,2.8157894736842106,6.0,2.736842105263157,Humphreys
Oleksandr Zinchenko,DEF,Arsenal,0.0,7,1,0,20903,49,False,2.526315789473684,2.9473684210526314,2.736842105263157,1.0,2.8684210526315788,Zinchenko
Tyrese Francois,MID,Fulham,0.0,18,0,0,-66,44,False,2.6842105263157894,3.0526315789473686,2.8684210526315788,9.0,2.8157894736842106,Francois
Callum Wilson,FWD,Newcastle,5.7,8,1,6,13068,78,True,2.631578947368421,3.0,2.8157894736842106,15.0,2.8684210526315788,Wilson
Allan Saint-Maximin,MID,Newcastle,0.0,8,0,0,-35,60,True,2.631578947368421,3.0,2.8157894736842106,15.0,2.8684210526315788,Saint-Maximin
Han-Noah Massengo,MID,Burnley,0.0,4,0,0,-11,50,False,,,,,2.894736842105263,Massengo
Zeki Amdouni,FWD,Burnley,2.5,4,1,2,-6439,54,False,,,,,2.894736842105263,Amdouni
Steven Alzate,MID,Brighton,0.0,13,0,0,-412,44,False,2.6842105263157894,3.1052631578947367,2.894736842105263,5.0,2.736842105263157,Alzate
Jóhann Berg Gudmundsson,MID,Burnley,0.0,4,0,0,-247,48,False,,,,,2.894736842105263,Gudmundsson
Tim Krul,GK,Luton,0.0,16,0,0,-199,45,False,,,,,2.894736842105263,Krul
Keinan Davis,FWD,Aston Villa,0.0,19,0,0,-578,49,True,2.631578947368421,3.0,2.8157894736842106,2.0,2.894736842105263,Davis
Bruno Borges Fernandes,MID,Man Utd,11.2,17,1,7,-82169,84,False,2.631578947368421,3.0526315789473686,2.8421052631578947,14.0,2.894736842105263,Fernandes
Hamed Traorè,MID,Bournemouth,0.0,20,0,0,-68,48,True,2.6842105263157894,3.1052631578947367,2.894736842105263,3.0,2.894736842105263,Traorè
Jeremy Sarmiento Morante,MID,Brighton,0.0,13,0,0,-39,45,False,2.6842105263157894,3.1052631578947367,2.894736842105263,5.0,2.736842105263157,Morante
Issa Kaboré,DEF,Luton,2.0,16,0,1,-16466,40,False,,,,,2.894736842105263,Kaboré
Sam Surridge,FWD,Nott'm Forest,0.0,12,0,0,-767,45,True,2.6842105263157894,3.1052631578947367,2.894736842105263,16.0,2.763157894736842,Surridge
Reece Burke,DEF,Luton,2.5,16,1,1,6430,40,False,,,,,2.894736842105263,Burke
Jesurun Rak-Sakyi,MID,Crystal Palace,3.7,15,0,1,935,45,False,2.6842105263157894,3.0526315789473686,2.8684210526315788,7.0,2.8157894736842106,Rak-Sakyi
