name,position,team_name,ict_index_gw,opponent_team,starts_gw,total_points_gw,transfers_balance,value,was_home,avg_home_difficulty,avg_away_difficulty,avg_difficulty,team_id,opponent_team_difficulty,name_substring
Billy Gilmour,MID,Brighton,0.4,13,0,1,-4843,49,False,2.6842105263157894,3.1052631578947367,2.894736842105263,5.0,2.736842105263157,Gilmour
John Egan,DEF,Sheffield Utd,0.0,14,0,0,-1028,44,True,,,,,2.8421052631578947,Egan
Mikkel Damsgaard,MID,Brentford,0.0,6,0,0,-293,49,True,2.6842105263157894,3.1052631578947367,2.894736842105263,4.0,2.8157894736842106,Damsgaard
Angelo Ogbonna,DEF,West Ham,0.0,2,0,0,-179,44,False,2.6842105263157894,3.1052631578947367,2.894736842105263,19.0,2.8157894736842106,Ogbonna
Chris Basham,DEF,Sheffield Utd,0.0,14,0,0,-16431,40,True,,,,,2.8421052631578947,Basham
Son Heung-min,MID,Spurs,14.2,10,1,14,166496,95,True,2.631578947368421,3.0,2.8157894736842106,18.0,2.894736842105263,Heung-min
Joe Gomez,DEF,Liverpool,2.1,9,0,1,122,45,True,2.5789473684210527,2.9473684210526314,2.763157894736842,12.0,2.8684210526315788,Gomez
Darren Randolph,GK,Bournemouth,0.0,20,0,0,-576,40,True,2.6842105263157894,3.1052631578947367,2.894736842105263,3.0,2.894736842105263,Randolph
Ben Johnson,DEF,West Ham,0.0,2,0,0,-462,44,False,2.6842105263157894,3.1052631578947367,2.894736842105263,19.0,2.8157894736842106,Johnson
Pedro Porro,DEF,Spurs,1.9,10,1,6,169810,52,True,2.631578947368421,3.0,2.8157894736842106,18.0,2.894736842105263,Porro
Manuel Benson Hedilazio,MID,Burnley,0.0,4,0,0,-576,52,False,,,,,2.894736842105263,Hedilazio
Levi Colwill,DEF,Chelsea,2.5,1,1,1,-19274,46,True,2.631578947368421,3.0,2.8157894736842106,6.0,2.736842105263157,Colwill
Jonathan Panzo,DEF,Nott'm Forest,0.0,12,0,0,-403,40,True,2.6842105263157894,3.1052631578947367,2.894736842105263,16.0,2.763157894736842,Panzo
Pablo Fornals Malla,MID,West Ham,1.3,2,0,1,-231,48,False,2.6842105263157894,3.1052631578947367,2.894736842105263,19.0,2.8157894736842106,Malla
Elijah Adebayo,FWD,Luton,7.6,16,0,5,1277,48,False,,,,,2.894736842105263,Adebayo
Rico Henry,DEF,Brentford,0.0,6,0,0,-29045,44,True,2.6842105263157894,3.1052631578947367,2.894736842105263,4.0,2.8157894736842106,Henry
Bobby Clark,MID,Liverpool,0.0,9,0,0,-17,45,True,2.5789473684210527,2.9473684210526314,2.763157894736842,12.0,2.8684210526315788,Clark
Flynn Downes,MID,West Ham,0.0,2,0,0,-25,50,False,2.6842105263157894,3.1052631578947367,2.894736842105263,19.0,2.8157894736842106,Downes
Ben Greenwood,DEF,Bournemouth,0.0,20,0,0,391,40,True,2.6842105263157894,3.1052631578947367,2.894736842105263,3.0,2.894736842105263,Greenwood
Joe Willock,MID,Newcastle,0.0,8,0,0,-164,53,True,2.631578947368421,3.0,2.8157894736842106,15.0,2.8684210526315788,Willock
